"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2026","681.15","694.24","695.31","680.39","107.58M","-1.56%"
"02/11/2026","691.96","696.39","697.14","689.18","76.35M","-0.02%"
"02/10/2026","692.12","694.95","696.54","691.66","65.19M","-0.26%"
"02/09/2026","693.95","689.42","695.87","688.34","73.89M","0.48%"
"02/06/2026","690.62","681.46","692.31","680.85","89.13M","1.92%"
"02/05/2026","677.62","680.94","683.69","675.79","113.61M","-1.25%"
"02/04/2026","686.19","690.35","691.45","681.76","105.20M","-0.48%"
"02/03/2026","689.53","696.21","696.96","684.03","107.90M","-0.85%"
"02/02/2026","695.41","689.58","696.93","689.58","79.29M","0.50%"
"01/30/2026","691.97","691.79","694.21","687.12","101.84M","-0.30%"
"01/29/2026","694.04","696.39","697.06","684.83","97.49M","-0.20%"
"01/28/2026","695.42","697.05","697.84","693.94","61.17M","-0.01%"
"01/27/2026","695.49","694.18","696.53","693.57","55.51M","0.40%"
"01/26/2026","692.73","690.49","694.13","689.92","60.47M","0.51%"
"01/23/2026","689.23","688.15","690.96","687.16","63.06M","0.04%"
"01/22/2026","688.98","689.85","691.13","686.92","77.11M","0.52%"
"01/21/2026","685.40","679.65","688.73","678.13","127.84M","1.15%"
"01/20/2026","677.58","681.49","684.77","676.57","111.62M","-2.04%"
"01/16/2026","691.66","693.66","694.25","690.10","79.29M","-0.08%"
"01/15/2026","692.24","694.57","695.45","691.25","77.86M","0.27%"
"01/14/2026","690.36","691.00","691.72","686.04","94.68M","-0.49%"
"01/13/2026","693.77","695.49","696.09","691.35","78.31M","-0.20%"
"01/12/2026","695.16","690.68","696.09","690.63","63.98M","0.16%"
"01/09/2026","694.07","690.63","695.31","689.18","80.13M","0.66%"
"01/08/2026","689.51","688.82","690.61","687.49","64.02M","-0.01%"
"01/07/2026","689.58","692.19","693.96","689.32","75.59M","-0.32%"
"01/06/2026","691.81","687.93","692.32","687.78","69.27M","0.59%"
"01/05/2026","687.72","686.54","689.43","686.38","71.93M","0.67%"
"01/02/2026","683.17","685.71","686.87","679.82","89.38M","0.18%"
"12/31/2025","681.92","687.14","687.36","681.71","74.14M","-0.74%"
"12/30/2025","687.01","687.45","688.55","686.58","47.16M","-0.12%"
"12/29/2025","687.85","687.54","689.20","686.07","62.56M","-0.36%"
"12/26/2025","690.31","690.64","691.66","689.27","41.61M","-0.01%"
"12/25/2025","690.38","687.95","690.38","690.38","39.45M","0.00%"
"12/24/2025","690.38","687.95","690.83","687.80","39.45M","0.35%"
"12/23/2025","687.96","683.92","688.20","683.87","64.84M","0.46%"
"12/22/2025","684.83","683.94","685.36","680.59","69.56M","0.62%"
